Date,Open,High,Low,Close,Adj Close,Volume
10/18/2007,153.544022,157.46286,144.681107,151.646881,135.495773,9498409
10/19/2007,149.395218,153.496109,145.303894,150.458771,134.434219,4221095
10/22/2007,149.280243,150.238388,145.639252,148.111298,132.336746,4625435
10/23/2007,149.663498,154.914169,149.663498,152.461304,136.223465,7599610
10/24/2007,153.093689,154.262634,147.555557,148.437057,132.627823,9307161
10/25/2007,150.238388,156.52388,148.513718,153.419464,137.079575,5685647
10/26/2007,153.266159,156.17894,148.552032,154.224304,137.798676,5484197
10/29/2007,156.52388,160.356491,153.496109,154.693802,138.21817,6504644
10/30/2007,155.220779,156.54303,144.882309,147.12439,131.454941,13522751
10/31/2007,147.038162,154.444687,143.732529,145.227249,129.759888,15833228
11/1/2007,147.555557,147.919662,141.615005,143.138474,127.893555,8762066
11/2/2007,139.890335,145.447617,138.93219,144.642776,129.237656,3284548
11/5/2007,143.722946,143.722946,140.848495,141.835388,126.729263,5753167
11/6/2007,141.835388,142.726471,137.264999,137.868637,123.184982,3437196
11/7/2007,137.97403,140.75267,136.096054,138.031525,123.330505,3703484
11/8/2007,137.015884,138.874695,135.022919,135.588226,121.147453,2249870
11/12/2007,131.650223,133.058701,129.350647,131.142395,117.17511,3345097
11/13/2007,132.225113,135.137894,128.986557,132.857498,118.707558,4206791
11/14/2007,134.141418,140.235275,134.141418,135.607391,121.164574,3104812
11/15/2007,135.099579,137.686584,133.288666,133.940201,119.67495,3067098
11/16/2007,131.266953,136.249359,131.266953,133.585693,119.3582,5349474
11/19/2007,133.566528,137.006302,133.566528,134.735474,120.385506,2644572
11/20/2007,133.183273,137.552444,132.809586,135.760696,121.301552,6317075
11/21/2007,137.015884,137.015884,131.5065,132.474228,118.365112,3316641
11/22/2007,132.225113,134.333054,129.954285,133.087448,118.913017,4761635
11/23/2007,134.620499,138.68306,133.853973,136.891312,122.311752,4237647
11/26/2007,137.993195,139.50708,135.099579,136.393082,121.866585,3753664
11/27/2007,136.249359,138.45311,135.291199,137.926117,123.236343,6008168
11/28/2007,137.97403,139.06633,136.824249,138.213562,123.493172,3686566
11/29/2007,139.315445,142.419861,136.824249,137.629089,122.97094,10588517
11/30/2007,138.740555,142.573166,136.824249,140.359833,125.410866,7545960
12/3/2007,141.040115,143.531311,140.532303,141.068863,126.044373,2513799
12/4/2007,141.23175,142.956421,139.574142,142.055756,126.926163,3294212
12/5/2007,142.573166,150.219223,142.573166,148.015472,132.251144,7361632
12/6/2007,148.609528,149.855133,146.262054,148.599945,132.773376,4215365
12/7/2007,148.513718,149.797638,145.744659,147.038162,131.377914,5887473
12/10/2007,147.938828,149.031113,142.774384,146.875275,131.232361,2720656
12/11/2007,147.555557,148.954468,145.830887,148.552032,132.730545,3528126
12/12/2007,148.877808,149.471863,146.022522,147.56514,131.84874,3474095
12/13/2007,146.597412,150.966583,143.703781,146.242889,130.667313,5974317
12/14/2007,145.639252,146.405777,141.423386,142.736053,127.533966,4704394
12/17/2007,142.534836,143.665466,132.225113,134.476776,120.154366,6631127
12/18/2007,135.885254,137.97403,133.566528,134.563004,120.231415,3498376
12/19/2007,137.207504,137.475784,130.538757,132.359253,118.26239,8621164
12/20/2007,132.608368,136.996719,132.608368,136.086472,121.592628,6920606
12/24/2007,139.315445,140.599365,137.399139,139.966995,125.059845,2576999
12/26/2007,141.040115,144.776917,139.890335,144.125366,128.775345,3848858
